e_value_threshold	TP	FN	FP	TN	Sensitivity	Specificity	Precision	F1	MCC
1e-50	3	365	0	368	0.0082	1.0	1.0	0.0162	0.064
1e-30	18	350	0	368	0.0489	1.0	1.0	0.0933	0.1583
1e-20	36	332	0	368	0.0978	1.0	1.0	0.1782	0.2268
1e-10	281	87	0	368	0.7636	1.0	1.0	0.8659	0.7859
1e-05	358	10	0	368	0.9728	1.0	1.0	0.9862	0.9732
0.001	363	5	0	368	0.9864	1.0	1.0	0.9932	0.9865
0.01	363	5	0	368	0.9864	1.0	1.0	0.9932	0.9865
0.1	363	5	0	368	0.9864	1.0	1.0	0.9932	0.9865
1.0	364	4	0	368	0.9891	1.0	1.0	0.9945	0.9892
